symbol_id,abb_zhname,name,registration,industry,tax_ID,found,listing,abb_enname,website,currency,par_value,description,type,enname
0050,元大台灣50,元大台灣卓越50證券投資信託基金,,,98764389,2003-06-25,2003-06-30,,,,,臺灣50指數,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Top 50 ETF
0051,元大中型100,元大台灣中型100證券投資信託基金,,,48772770,2006-08-24,2006-08-31,,,,,臺灣中型100指數,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Mid-Cap 100 ETF
0052,富邦科技,富邦台灣科技指數證券投資信託基金,,,48790067,2006-08-28,2006-09-12,,,,,臺灣資訊科技指數,國內成分證券指數股票型基金,Fubon Taiwan Technology Tracker Fund
0053,元大電子,元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金,,,48903196,2007-07-04,2007-07-16,,,,,電子類加權股價指數,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Electronics Tech ETF
0054,元大台商50,元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金,,,48903180,2007-07-04,2007-07-16,,,,,S&P台商收成指數,國內成分證券指數股票型基金,Yuanta/P-shares S&P Custom China Play 50 ETF
0055,元大MSCI金融,元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金,,,48903175,2007-07-04,2007-07-16,,,,,MSCI台灣金融指數,國內成分證券指數股票型基金,Yuanta/P-shares MSCI Taiwan Financials ETF
0056,元大高股息,元大台灣高股息證券投資信託基金,,,48966213,2007-12-13,2007-12-26,,,,,臺灣高股息指數,國內成分證券指數股票型基金,Yuanta/P-shares Taiwan Dividend Plus ETF
0057,富邦摩台,富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金,,,48975156,2008-02-14,2008-02-27,,,,,MSCI&reg;臺灣指數,國內成分證券指數股票型基金,FUBON MSCI  TAIWAN ETF
0061,元大寶滬深,元大標智滬深300證券投資信託基金,,,25610486,2009-08-04,2009-08-17,,,,,滬深300指數,連結式證券指數股票型基金,W.I.S.E. Yuanta/P-shares CSI 300 ETF
006203,元大MSCI台灣,元大摩臺證券投資信託基金,,,26306553,2011-04-21,2011-05-12,,,,,MSCI&reg;臺灣指數,國內成分證券指數股票型基金,Yuanta/ P-shares MSCI Taiwan ETF
006204,永豐臺灣加權,永豐臺灣加權ETF證券投資信託基金,,,26332314,2011-09-06,2011-09-28,,,,,臺灣證券交易所發行量加權股價指數,國內成分證券指數股票型基金,Sinopac TAIEX ETF
006205,富邦上証,富邦上証180證券投資信託基金,,,26334740,2011-08-30,2011-09-26,,,,,上証180指數,國外成分證券指數股票型基金,Fubon SSE180 ETF
006206,元大上證50,元大中國傘型證券投資信託基金之上證50證券投資信託基金,,,31830488,2012-04-25,2012-05-11,,,,,上證50指數,國外成分證券指數股票型基金,Yuanta/P-shares SSE50 ETF
006207,FH滬深,復華滬深300 A股證券投資信託基金,,,31835478,2012-06-05,2012-06-22,,,,,滬深300指數,國外成分證券指數股票型基金,Fuh Hwa CSI 300 A Shares Exchange Traded Fund
006208,富邦台50,富邦台灣釆吉50 證券投資信託基金,,,31840182,2012-06-22,2012-07-17,,,,,臺灣50指數,國內成分證券指數股票型基金,Fubon FTSE TWSE Taiwan 50 ETF
00625K,富邦上証+R,富邦上証180證券投資信託基金-加掛人民幣ETF受益憑證-國外成份/加掛外幣證券指數股票型基金,,,26334740,2016-08-08,2016-08-08,,,,,上証180指數,國外成份/加掛外幣證券指數股票型基金,FUBON SSE 180 ETF RMB
00631L,元大台灣50正2,元大ETF傘型證券投資信託基金之台灣50單日正向2倍證券投資信託基金,,,38619904,2014-10-23,2014-10-31,,,,,臺灣50指數,槓桿/反向指數股票型基金,Yuanta Daily Taiwan 50 Bull 2X ETF
00632R,元大台灣50反1,元大ETF傘型證券投資信託基金之台灣50單日反向1倍證券投資信託基金,,,38619910,2014-10-23,2014-10-31,,,,,臺灣50指數,槓桿/反向指數股票型基金,Yuanta Daily Taiwan 50 Bear -1X ETF
00633L,富邦上証正2,富邦中國ETF傘型證券投資信託基金之富邦上証180單日正向兩倍證券投資信託基金,,,38633011,2014-11-11,2014-11-25,,,,,上証180兩倍槓桿指數,槓桿/反向指數股票型基金,Fubon SSE 180 Leveraged 2X Index ETF
00634R,富邦上証反1,富邦中國ETF傘型證券投資信託基金之富邦上証180單日反向一倍證券投資信託基金,,,38633027,2013-11-11,2014-11-25,,,,,上証180反向指數,槓桿/反向指數股票型基金,Fubon SSE 180 Inversed Index ETF
00635U,元大S&P黃金,元大標普高盛黃金ER指數股票型期貨信託基金,,,38651191,2015-04-01,2015-04-15,,,,,標普高盛黃金ER指數,指數股票型期貨信託基金,Yuanta S&P GSCI Gold ER Futures ETF
00636,國泰中國A50,國泰富時中國A50證券投資信託基金,,,42260528,2015-03-20,2015-04-01,,,,,富時中國A50指數,國外成分證券指數股票型基金,Cathay FTSE China A50 ETF
00636K,國泰中國A50+U,國泰富時中國A50證券投資信託基金(加掛美元受益憑證)-國外成份/加掛外幣證券指數股票型基金,,,42260528,2017-10-24,2017-10-24,,,,,富時中國A50指數,國外成份/加掛外幣證券指數股票型基金,Cathay FTSE China A50 ETF
00637L,元大滬深300正2,元大滬深300傘型證券投資信託基金之滬深300單日正向2倍證券投資信託基金,,,42300253,2015-05-06,2015-05-18,,,,,滬深300日報酬正向兩倍指數,槓桿/反向指數股票型基金,Yuanta Daily CSI300 Bull 2X ETF
00638R,元大滬深300反1,元大滬深300傘型證券投資信託基金之滬深300單日反向1倍證券投資信託基金,,,42300232,2015-05-06,2015-05-18,,,,,滬深300日報酬反向一倍指數,槓桿/反向指數股票型基金,Yuanta Daily CSI 300 Bear -1X ETF
00639,富邦深100,富邦深証100證券投資信託基金,,,42302273,2015-05-20,2015-06-09,,,,,深証100指數,國外成分證券指數股票型基金,Fubon SZSE 100 ETF
00640L,富邦日本正2,富邦日本ETF傘型證券投資信託基金之富邦日本東証單日正向兩倍證券投資信託基金,,,42319561,2015-08-27,2015-09-10,,,,,東証正向二倍指數,槓桿/反向指數股票型基金,Fubon TOPIX Leveraged 2X Index ETF
